shipment_id,customer_id,customer_name,industry,origin_city,origin_region,destination_city,destination_region,transport_mode,carrier,commodity_type,weight_lbs,num_pallets,ship_date,delivery_date,transit_days,status,on_time_delivery,base_freight_cost,fuel_surcharge,accessorial_charges,total_freight_cost,cost_per_lb,damage_claim,damage_amount
SHP-000001,C011,PackLogic Systems,Packaging,"Chicago, IL",US-Midwest,"New York, NY",US-East,Ocean,SkyBridge Air Cargo,Oversized Load,78373.6,85,2024-02-02,2024-02-17,15,Delivered,True,1026.69,158.18,295.25,1480.12,0.0189,False,0
SHP-000002,C010,QuickRetail Group,Retail,"Los Angeles, CA",US-West,"Portland, OR",US-West,Truck (LTL),Heartland Trucking,High-Value Goods,4547.2,4,2025-03-08,2025-03-15,7,Delivered,True,578.86,96.63,79.83,755.32,0.1661,False,0
SHP-000003,C013,PharmaDist Inc,Pharmaceuticals,"Seattle, WA",US-West,"Miami, FL",US-South,Truck (FTL),Continental Express,Refrigerated Goods,38899.8,26,2025-01-22,2025-01-23,1,Delivered,True,3434.85,552.02,268.11,4254.98,0.1094,False,0
SHP-000004,C010,QuickRetail Group,Retail,"Seattle, WA",US-West,"Nashville, TN",US-South,Truck (LTL),TransNational Freight,General Merchandise,2356.2,1,2024-04-13,2024-04-24,11,Delayed,,304.42,26.78,0,331.2,0.1406,False,0
SHP-000005,C003,FreshHarvest Foods,Food & Beverage,"Seattle, WA",US-West,"Phoenix, AZ",US-West,Truck (LTL),SkyBridge Air Cargo,Refrigerated Goods,6386.3,6,2025-10-17,2025-10-27,10,In Transit,,1090.78,113.97,134.97,1339.72,0.2098,False,0
SHP-000006,C013,PharmaDist Inc,Pharmaceuticals,"Los Angeles, CA",US-West,"Denver, CO",US-West,Truck (FTL),PrimeMove Carriers,High-Value Goods,7647.5,4,2025-05-26,2025-05-30,4,Delivered,True,864.93,118.25,106.31,1089.49,0.1425,False,0
SHP-000007,C003,FreshHarvest Foods,Food & Beverage,"Atlanta, GA",US-South,"San Francisco, CA",US-West,Truck (LTL),Heartland Trucking,Finished Products,7495.4,5,2024-05-21,2024-05-31,10,Delivered,True,1145.3,158.46,0,1303.76,0.1739,False,0
SHP-000008,C014,AutoParts Direct,Automotive,"Chicago, IL",US-Midwest,"San Francisco, CA",US-West,Ocean,BlueWave Shipping,High-Value Goods,41128.6,25,2024-01-12,2024-02-02,21,In Transit,,880.15,158.09,485.54,1523.78,0.037,False,0
SHP-000009,C005,BuildRight Materials,Construction,"Seattle, WA",US-West,"Miami, FL",US-South,Rail,Continental Express,Hazardous Materials,20584.2,11,2025-06-03,2025-06-09,6,Delivered,True,1006.57,152.97,380.98,1540.52,0.0748,False,0
SHP-000010,C011,PackLogic Systems,Packaging,"Louisville, KY",US-East,"Nashville, TN",US-South,Truck (LTL),BlueWave Shipping,Bulk Commodities,1699.3,1,2025-05-15,,,Cancelled,,411.4,70.86,299.47,781.73,0.46,False,0
SHP-000011,C014,AutoParts Direct,Automotive,"Atlanta, GA",US-South,"Denver, CO",US-West,Truck (FTL),IronRail Transport,Machinery & Equipment,8426.1,6,2024-05-11,2024-05-17,6,Delivered,True,664.82,57.79,382.92,1105.53,0.1312,False,0
SHP-000012,C005,BuildRight Materials,Construction,"Louisville, KY",US-East,"Nashville, TN",US-South,Intermodal,IronRail Transport,Finished Products,61095.2,45,2025-03-24,,,Cancelled,,2449.92,272.36,324.94,3047.22,0.0499,False,0
SHP-000013,C002,GlobalTech Solutions,Electronics,"Seattle, WA",US-West,"New York, NY",US-East,Air Freight,Heartland Trucking,Oversized Load,1140.1,1,2024-02-02,2024-02-04,2,In Transit,,731.94,104.75,0,836.69,0.7339,False,0
SHP-000014,C011,PackLogic Systems,Packaging,"Memphis, TN",US-South,"Denver, CO",US-West,Air Freight,BlueWave Shipping,Machinery & Equipment,2389.7,1,2024-04-09,2024-04-12,3,In Transit,,4944.77,794.87,0,5739.64,2.4018,False,0
SHP-000015,C008,SteelForge Ltd,Metals,"Los Angeles, CA",US-West,"Toronto, ON",Canada,Ocean,TransNational Freight,General Merchandise,366824.7,378,2025-07-03,2025-08-14,42,Delivered,True,12472.04,1134.04,0,13606.08,0.0371,False,0
SHP-000016,C008,SteelForge Ltd,Metals,"Newark, NJ",US-East,"Miami, FL",US-South,Intermodal,Heartland Trucking,Refrigerated Goods,55650.1,43,2024-08-30,2024-09-05,6,Delivered,True,3172.06,258.45,0,3430.51,0.0616,False,0
SHP-000017,C014,AutoParts Direct,Automotive,"Dallas, TX",US-South,"New York, NY",US-East,Truck (LTL),Continental Express,General Merchandise,2725.5,2,2025-07-23,2025-08-01,9,Delivered,True,581.35,72.96,478.66,1132.97,0.4157,False,0
SHP-000018,C001,Acme Manufacturing,Automotive,"Columbus, OH",US-Midwest,"Vancouver, BC",Canada,Air Freight,SwiftHaul Logistics,Bulk Commodities,298.2,1,2025-06-04,2025-06-05,1,Delivered,True,433.46,74.53,28.44,536.43,1.7989,False,0
SHP-000019,C002,GlobalTech Solutions,Electronics,"Newark, NJ",US-East,"Detroit, MI",US-Midwest,Truck (FTL),Apex Freight Solutions,Oversized Load,28780.8,17,2024-09-24,2024-09-26,2,In Transit,,2578.76,314.41,261.39,3154.56,0.1096,False,0
SHP-000020,C005,BuildRight Materials,Construction,"Dallas, TX",US-South,"San Francisco, CA",US-West,Ocean,SkyBridge Air Cargo,Raw Materials,465219.0,321,2024-04-12,2024-04-30,18,Delivered,True,17724.84,1434.5,281.5,19440.84,0.0418,False,0
SHP-000021,C003,FreshHarvest Foods,Food & Beverage,"Seattle, WA",US-West,"Miami, FL",US-South,Truck (LTL),PrimeMove Carriers,Fragile Items,4438.0,2,2025-06-25,2025-06-27,2,Delivered,True,764.67,84.31,403.55,1252.53,0.2822,False,0
SHP-000022,C015,ColdChain Express,Food & Beverage,"Chicago, IL",US-Midwest,"San Francisco, CA",US-West,Rail,TransNational Freight,Refrigerated Goods,119580.3,86,2025-10-11,2025-10-25,14,Delayed,,3695.03,519.09,101.8,4315.92,0.0361,False,0
SHP-000023,C014,AutoParts Direct,Automotive,"Los Angeles, CA",US-West,"Miami, FL",US-South,Ocean,Continental Express,Fragile Items,11737.4,7,2025-03-28,2025-05-08,41,Delivered,True,388.51,55.83,0,444.34,0.0379,False,0
SHP-000024,C015,ColdChain Express,Food & Beverage,"Houston, TX",US-South,"Portland, OR",US-West,Truck (FTL),PrimeMove Carriers,Machinery & Equipment,10923.8,10,2024-02-10,2024-02-13,3,In Transit,,548.37,60.77,398.06,1007.2,0.0922,False,0
SHP-000025,C002,GlobalTech Solutions,Electronics,"Seattle, WA",US-West,"Monterrey, MX",Mexico,Air Freight,Continental Express,Machinery & Equipment,815.0,1,2025-02-26,2025-03-01,3,Delayed,,1923.24,320.14,405.39,2648.77,3.25,False,0
SHP-000026,C015,ColdChain Express,Food & Beverage,"Dallas, TX",US-South,"Monterrey, MX",Mexico,Ocean,IronRail Transport,Fragile Items,395813.5,339,2025-04-16,2025-05-22,36,Delivered,True,5224.74,873.66,111.22,6209.62,0.0157,False,0
SHP-000027,C004,MedSupply Corp,Healthcare,"Newark, NJ",US-East,"New York, NY",US-East,Ocean,IronRail Transport,High-Value Goods,146515.5,90,2025-06-05,2025-07-14,39,Delivered,True,1772.84,278.93,0,2051.77,0.014,False,0
SHP-000028,C006,PetroChem Industries,Chemicals,"Los Angeles, CA",US-West,"Miami, FL",US-South,Rail,BlueWave Shipping,Machinery & Equipment,26886.3,21,2025-06-07,2025-06-13,6,Delivered,True,1180.31,135.23,218.2,1533.74,0.057,False,0
SHP-000029,C005,BuildRight Materials,Construction,"Los Angeles, CA",US-West,"Vancouver, BC",Canada,Intermodal,SwiftHaul Logistics,Finished Products,47691.6,30,2024-03-12,,,Cancelled,,3147.65,485.35,182.11,3815.11,0.08,False,0
SHP-000030,C002,GlobalTech Solutions,Electronics,"Atlanta, GA",US-South,"Portland, OR",US-West,Rail,Continental Express,Bulk Commodities,145497.5,98,2024-06-27,2024-07-11,14,Delivered,True,6139.99,608.99,189.57,6938.55,0.0477,False,0
SHP-000031,C014,AutoParts Direct,Automotive,"Los Angeles, CA",US-West,"Boston, MA",US-East,Rail,IronRail Transport,High-Value Goods,124397.3,78,2025-04-29,,,Cancelled,,5747.16,727.01,106.85,6581.02,0.0529,False,0
SHP-000032,C011,PackLogic Systems,Packaging,"Columbus, OH",US-Midwest,"Phoenix, AZ",US-West,Truck (FTL),IronRail Transport,Fragile Items,37262.5,28,2024-03-15,2024-03-19,4,Delivered,True,1930.2,163.34,305.64,2399.18,0.0644,False,0
SHP-000033,C004,MedSupply Corp,Healthcare,"Dallas, TX",US-South,"Minneapolis, MN",US-Midwest,Intermodal,IronRail Transport,Hazardous Materials,58133.6,42,2024-08-12,2024-08-23,11,Delayed,,4336.77,720.09,389.21,5446.07,0.0937,False,0
SHP-000034,C015,ColdChain Express,Food & Beverage,"Chicago, IL",US-Midwest,"Minneapolis, MN",US-Midwest,Truck (LTL),Pacific Route Lines,Finished Products,5995.0,3,2025-05-31,2025-06-08,8,In Transit,,1447.79,244.88,359.64,2052.31,0.3423,False,0
SHP-000035,C015,ColdChain Express,Food & Beverage,"Houston, TX",US-South,"Vancouver, BC",Canada,Intermodal,Pacific Route Lines,Fragile Items,27306.8,30,2024-10-08,,,Cancelled,,1690.29,264.67,313.37,2268.33,0.0831,False,0
SHP-000036,C005,BuildRight Materials,Construction,"Seattle, WA",US-West,"Phoenix, AZ",US-West,Air Freight,TransNational Freight,Hazardous Materials,1194.7,1,2025-02-21,2025-02-23,2,Delivered,True,2255.47,339.77,0,2595.24,2.1723,False,0
SHP-000037,C004,MedSupply Corp,Healthcare,"Dallas, TX",US-South,"Detroit, MI",US-Midwest,Air Freight,SwiftHaul Logistics,Machinery & Equipment,2411.0,1,2025-03-05,2025-03-08,3,Delivered,True,5751.44,631.86,0,6383.3,2.6476,False,0
SHP-000038,C010,QuickRetail Group,Retail,"Newark, NJ",US-East,"Minneapolis, MN",US-Midwest,Truck (LTL),SkyBridge Air Cargo,High-Value Goods,387.3,1,2025-04-23,2025-04-27,4,Delivered,True,53.1,7.85,82.52,143.47,0.3704,False,0
SHP-000039,C015,ColdChain Express,Food & Beverage,"Dallas, TX",US-South,"Nashville, TN",US-South,Air Freight,SwiftHaul Logistics,Refrigerated Goods,2171.6,1,2024-12-01,2024-12-06,5,Delayed,,4850.7,476.21,0,5326.91,2.453,False,0
SHP-000040,C007,TextileWorld Inc,Textiles,"Atlanta, GA",US-South,"Monterrey, MX",Mexico,Intermodal,SkyBridge Air Cargo,Refrigerated Goods,11356.8,6,2025-10-27,2025-11-01,5,Delivered,True,647.34,116.51,0,763.85,0.0673,False,0
SHP-000041,C013,PharmaDist Inc,Pharmaceuticals,"Los Angeles, CA",US-West,"Denver, CO",US-West,Truck (LTL),SwiftHaul Logistics,Machinery & Equipment,2461.6,2,2024-09-19,2024-09-26,7,Delivered,True,395.09,36.13,232.52,663.74,0.2696,False,0
SHP-000042,C012,EnergyFlow Corp,Energy,"Chicago, IL",US-Midwest,"Monterrey, MX",Mexico,Truck (LTL),SkyBridge Air Cargo,Refrigerated Goods,354.2,1,2024-07-22,2024-07-25,3,In Transit,,47.11,6.96,198.33,252.4,0.7126,False,0
SHP-000043,C004,MedSupply Corp,Healthcare,"Chicago, IL",US-Midwest,"Vancouver, BC",Canada,Rail,Apex Freight Solutions,Refrigerated Goods,197092.0,241,2025-06-02,,,Cancelled,,10110.82,1159.92,185.29,11456.03,0.0581,False,0
SHP-000044,C008,SteelForge Ltd,Metals,"Chicago, IL",US-Midwest,"Detroit, MI",US-Midwest,Rail,Pacific Route Lines,Hazardous Materials,51704.7,39,2025-05-10,2025-05-22,12,Delivered,True,2114.72,306.73,459.81,2881.26,0.0557,False,0
SHP-000045,C005,BuildRight Materials,Construction,"Seattle, WA",US-West,"Denver, CO",US-West,Truck (FTL),SkyBridge Air Cargo,Raw Materials,35019.1,29,2025-05-21,2025-05-28,7,Delivered,True,2997.63,440.11,0,3437.74,0.0982,False,0
SHP-000046,C006,PetroChem Industries,Chemicals,"Atlanta, GA",US-South,"Phoenix, AZ",US-West,Rail,Apex Freight Solutions,Fragile Items,21827.2,13,2024-09-03,2024-09-15,12,In Transit,,1263.79,111.92,244.29,1620.0,0.0742,False,0
SHP-000047,C013,PharmaDist Inc,Pharmaceuticals,"Los Angeles, CA",US-West,"Miami, FL",US-South,Rail,IronRail Transport,High-Value Goods,63794.9,38,2025-07-17,2025-07-30,13,Delayed,,2972.84,347.53,171.88,3492.25,0.0547,False,0
SHP-000048,C005,BuildRight Materials,Construction,"Newark, NJ",US-East,"Miami, FL",US-South,Ocean,IronRail Transport,Bulk Commodities,374011.7,224,2025-05-10,2025-06-10,31,Delivered,True,14399.45,2145.75,0,16545.2,0.0442,False,0
SHP-000049,C009,AgroFarm Supplies,Agriculture,"Columbus, OH",US-Midwest,"Boston, MA",US-East,Truck (FTL),IronRail Transport,Fragile Items,19435.2,13,2024-02-16,2024-02-17,1,Delivered,True,1247.74,188.16,0,1435.9,0.0739,False,0
SHP-000050,C003,FreshHarvest Foods,Food & Beverage,"Memphis, TN",US-South,"Miami, FL",US-South,Truck (FTL),Apex Freight Solutions,Fragile Items,24148.6,13,2025-05-04,2025-05-05,1,Delivered,True,1625.2,286.93,0,1912.13,0.0792,False,0
SHP-000051,C002,GlobalTech Solutions,Electronics,"Columbus, OH",US-Midwest,"Toronto, ON",Canada,Ocean,SwiftHaul Logistics,Hazardous Materials,407459.6,266,2025-07-25,2025-09-03,40,Delivered,True,15687.19,1388.6,0,17075.79,0.0419,False,0
SHP-000052,C004,MedSupply Corp,Healthcare,"Louisville, KY",US-East,"Detroit, MI",US-Midwest,Intermodal,Pacific Route Lines,Fragile Items,51196.8,33,2024-04-11,,,Cancelled,,2631.52,360.16,0,2991.68,0.0584,False,0
SHP-000053,C002,GlobalTech Solutions,Electronics,"Houston, TX",US-South,"Denver, CO",US-West,Truck (LTL),Heartland Trucking,Refrigerated Goods,126.5,1,2024-08-25,2024-08-31,6,Delivered,True,19.81,2.76,0,22.57,0.1784,False,0
SHP-000054,C008,SteelForge Ltd,Metals,"Chicago, IL",US-Midwest,"Toronto, ON",Canada,Truck (LTL),SkyBridge Air Cargo,Machinery & Equipment,8058.7,9,2024-06-01,2024-06-09,8,Delayed,,915.47,83.74,0,999.21,0.124,False,0
SHP-000055,C005,BuildRight Materials,Construction,"Columbus, OH",US-Midwest,"Vancouver, BC",Canada,Air Freight,SkyBridge Air Cargo,Raw Materials,2370.1,1,2025-07-06,2025-07-08,2,Delivered,True,2626.54,315.84,0,2942.38,1.2415,False,0
